job_key,job_title,salary_low,salary_high,is_remote,job_type,is_intern
job-17bc43b431871b45,Data Analyst,$47.4K,$60K,N,Full-time,0
job-18a754e619e0a423,Data Scientist,$98.6K,$125K,N,Full-time,0
job-18bd709e00fbc35d,Data Scientist,$127K,$160K,N,Full-time,0
job-19a9f2a4deb9847c,Data Scientist,$108K,$136K,Y,Full-time (i),0
job-1a044f6636826eee,"Data Engineering Intern, Data Science and Engineering",$73.5K,$93.1K,N,Internship,1
job-1a6820b95c055ffd,"Data Scientist Intern, Analytics",$20,$50,N,Internship,1
job-1acfc523a7fe4db3,Data Report Specialist | Remote,0,0,Y,Full-time,0
job-1adf265cf6f45232,Data Scientist,$130K,$164K,Y,Full-time (i),0
job-1ae2ff28f49416a5,Data Scientist,$53.4K,$67.6K,N,Full-time (i),0
job-1b2167ae36c95a44,Data Mining Scientist,0,0,Y,Full-time (i),0
job-1b6c11f7e66985e0,Junior Data Scientist (US - East Coast),$63.4K,$80.3K,N,Full-time,0
job-1bd75dfa708037d4,Data Scientists,$99.1K,$125K,N,Full-time (i),0
job-1c971fa15a15e993,Data Engineer,$90.7K,$115K,N,Contract,0
job-1cb5ddaff3d99e8b,"Data Scientist, Viral Genomics",0,0,N,Full-time,0
job-1d187791ab447593,Data Engineer General,$72.1K,$91.2K,N,Contract,0
job-1d6776cff1a1e69f,Data Analyst - Remote,0,0,N,Full-time,0
job-1d6ea52576020fee,Data Scientist,$75.6K,$95.7K,Y,Full-time (i),0
job-1dd50198e8aea5f9,"Scientist, Data Science",0,0,N,Full-time (i),0
job-1e69606a89666508,Data Visualization Specialist,"$72,176","$108,909",Y,Full-time,0
job-1ecbed9e78564475,2023 AI Research - Internship,0,0,Y,Internship,1
job-1f0af9e4705a18eb,2023 University Graduate - Data Science 1,$84.8K,$107K,N,Full-time,0
job-1f7832ce253836a3,Summer 2023 Data Center GPU Validation Co-Op/ Intern,$70.5K,$89.2K,N,Internship,1
job-20647dc4afaf4a36,Laboratory Data Scientist,"$4,206","$4,416",N,Full-time,0
job-20aaed49d55b16de,Data Scientist I,$75K,$94.9K,N,Full-time,0
job-20d3e043ea23ef18,Data Analyst (Remote),"$60,000","$80,000",Y,Full-time,0
job-20df28fa224fe0b6,Senior Data Analyst,"$115,000","$250,000",Y,Full-time (i),0
job-2125271a37f60153,Research Data Scientist,$134K,$170K,Y,Full-time (i),0
job-22409aeaca7a375b,Data Scientist,"$130,000","$300,000",Y,Full-time (i),0
job-227657f7f2463141,"Associate Data Scientist, 2023 Graduate",$80K,$101K,N,Full-time,0
job-228fe572936c3240,Machine Learning Intern (Summer 2023),"$11,000","$11,000",Y,Internship,1
job-22f2dfdeaa51ac84,Scientist I - Neurophysiology Data Analysis,0,0,N,Full-time (i),0
job-2331eec5e4e44055,Data Scientist (Remote),$106K,$134K,Y,Full-time,0
job-233493435dd70c94,Data Scientist (1386547),$116K,$147K,N,Full-time (i),0
job-23eaf853901b8974,Data Science & Analytics Development Program 2023a,$80.2K,$102K,N,Full-time (i),0
job-240f16f900b54f70,"Research Intern, AI (Spring/Summer 2023)",0,0,Y,Internship,1
job-241407ac3f3b31d6,Data Science Intern,$60K,$75.9K,N,Internship,1
job-260b91c2b4825639,Data Scientist,$84.8K,$107K,N,Full-time,0
job-264fe6de0d004f5d,Data Scientist,$74.6K,$94.5K,N,Full-time (i),0
job-266351fa2c92d811,Data Scientist,"$99,595","$129,472",Y,Full-time,0
job-266dae378e31712d,Data Analyst,$63.3K,$80.2K,Y,Full-time,0
job-280e08ef04cb7740,Data Scientist,$90.9K,$115K,Y,Full-time,0
job-2904db10639ec9c3,R&I Data Science & Sustainability Internship - 12 Months,$44.4K,$56.2K,N,Full-time,1
job-2a15ae67684a6dde,Data Analyst,$78.3K,$99.2K,Y,Full-time,0
job-2a1e68cf23e75808,Data Scientist,0,0,N,Full-time (i),0
job-2b4f6660895f9574,Data Analyst,"$80,000","$110,000",N,Full-time,0
job-2b7f43aae2c37421,"Data Scientist, Risk",$117K,$148K,N,Full-time (i),0
job-2c189f217200e1c2,"Junior Researcher, Data Science",$69.2K,$87.6K,N,Full-time (i),0
job-2c1ed3624830359b,Research Data Science Intern,$66.4K,$84.1K,N,Internship,1
job-2d83cf3dae2ab1df,Analytics Summer 2023 Intern,0,0,N,Full-time,1
job-2e1411eb5f7eb4f4,Data Scientist - Intern,$20,$25,N,Full-time,1
job-2ebc0a1b1b589f8a,Data Scientist,"$80,000","$80,000",N,Full-time,0
job-2ec9615060a9a5c2,Data Scientist / Quantitative Analyst,0,0,N,Full-time,0
job-2ef2433a09309f54,Data Scientist,$93.4K,$118K,N,Full-time,0
job-2f18ae87825483ca,Data Science Intern,$43.1K,$54.6K,N,Internship,1
job-2f7577d331547bec,Associate Machine Learning Engineer (Remote),$73.3K,$92.9K,Y,Full-time,0
job-3052cab2ca9408ad,"Data Scientist I, Risk Analytics","$115,360","$151,410",Y,Full-time (i),0
job-30ae6c0eb6c2fb40,Technology Intern- Technology Summer Internship Program,"$75,000","$90,000",N,Internship,1
job-30c2bfb3dabbd1df,Data Scientist,"$100,984","$131,277",Y,Full-time (i),0
job-30f80792440292e7,"Senior Associate, Data Science (R-13261)",$73K,$92.5K,Y,Full-time,0
job-319710555117dbdc,Data Analyst,$19,$26,Y,Internship,1
job-31f050977b6b88e7,Director - Data Science,$133K,$168K,N,Full-time,0
job-3239a1fa7c5a474b,Junior Data Scientist,$81.2K,$103K,N,Contract,0
job-332bb4ffd55ade85,Data Analytics Manager (Remote),"$210,000","$210,000",Y,Full-time (i),0
job-3366271063a2aadc,Data Scientist,$105K,$133K,Y,Full-time,0
job-33a5380c2fb99063,Data Scientist | Remote-US,$91.5K,$116K,Y,Full-time,0
job-33a89a95b75ac898,Data Scientist Intern,$39.6K,$50.1K,N,Full-time,1
job-340580918cebc59a,Principal Data Scientist,$138K,$174K,N,Full-time,0
job-3595d063e3084b41,Network Data Scientist,"$130,000","$180,000",Y,Full-time (i),0
job-35fb9c810e340ea8,"2023 Summer (May- Aug) Intern, Data Science",$40K,$50.6K,N,Full-time,1
job-36b1de947c1b6ef3,"(Senior) Data Scientist, Clinical & Genomics",0,0,Y,Full-time (i),0
job-375f10c6aa43360e,Senior Data Scientist,$121K,$153K,Y,Full-time,0
job-376e51fb0cf6188a,Fuse Data Science & Engineering Internship (Summer 2023),0,0,N,Full-time,1
job-378637ce972ec692,Data Scientist,"$120,000","$180,000",Y,Full-time,0
job-380e4480b1f38d63,Data Center Specialist,"$30,000","$58,000",N,Full-time,0
job-3837064918d4e5fb,Data Scientist Intern,$48K,$60.8K,N,Internship,1
job-38ae3e9b8611137d,Data Scientist,"$80,000","$80,000",Y,Full-time,0
job-38c285cf84dd086e,Senior Data Scientist (Remote),"$96,000","$220,000",Y,Full-time (i),0
job-394cdda7ee2e601a,Data Science Intern (Spring),$41.1K,$52.1K,Y,Internship,1
job-395bd650cdb99f1c,Applied Scientist 1,0,0,Y,Full-time (i),0
job-3ac8374fbb32a5bb,Data Scientist,$122K,$154K,Y,Full-time (i),0
job-3aecd3e9a13bbdb2,Data Scientist,$92.3K,$117K,N,Full-time,0
job-3af02d93417e951c,Junior Data Scientist,"$55,000","$60,000",Y,Internship,1
job-3c1a8f0015f73188,Data Analytics Intern,$37.4K,$47.4K,N,Full-time,1
job-3cec83dc45f5811a,Data Scientist II,$81.8K,$104K,N,Full-time,0
job-3d002937d72cdd24,Data Scientist,$127K,$161K,N,Contract,0
job-3e417767f39f88ea,Human Resources Data Analyst,$71.1K,$90K,Y,Full-time (i),0
job-3e8e7d8db670dc1a,Data Science Intern,$70,$75,N,Full-time,1
job-3f48c7f7af2fc151,Product Data Scientist,$74.2K,$94K,Y,Full-time,0
job-3fdc097d907cb412,Data Scientist,$76.9K,$97.4K,N,Full-time,0
job-4056f93fad9049d5,Data Scientist,$135K,$170K,Y,Full-time,0
job-41907f74de9bc1ed,Data Scientist,"$75,000","$85,000",N,Full-time,0
job-42a78e91d010b05d,Data Science Graduate,$104K,$131K,N,Full-time,0
job-43087b7ed6a1a3b8,Data Scientist,$109K,$138K,Y,Full-time (i),0
job-4333d4e5f4a5b265,Data Scientist Associate 1,0,0,N,Full-time (i),0
job-4395b81e0521fcef,Software Engineering Intern (Machine Learning Sys) - 2023 Summer (BS/MS),$67.4K,$85.4K,N,Internship,1
job-44148c70c1a0ea67,Data Scientist,"$110,000","$120,000",N,Full-time,0
job-4484d7039ddfc55e,Data Scientist,$90.6K,$115K,N,Full-time (i),0
job-47a1ecd2c7c33537,Data Analyst (Remote),$69.6K,$88.1K,Y,Full-time,0
job-47fb933602ef3be4,Data Science Intern,$39.3K,$49.7K,N,Internship,1
job-4823d05ce00f9881,Data Analyst,0,0,N,Full-time (i),0
job-48f7a92af23648f4,Data Scientist I,0,0,N,Full-time (i),0
job-4ab9b226a05c93da,Remote Customer Technical Support Specialist,$18.00,$24.15,Y,Full-time,0
job-4ac87d68765ad235,data scientist sr- People Analytics (Remote),"$109,000","$205,600",Y,Full-time,0
job-4b405b37395c9e3d,Data Analyst,"$53,600","$53,600",Y,Full-time,0
job-4b6a8f04d7079151,Data Scientist,$80.2K,$102K,N,Full-time (i),0
job-4bb9b8fb0f45b6bf,Data Science Intern - Summer 2023,$32.2K,$40.8K,N,Full-time,1
job-4bfb7e005e74b801,Data Scientist,$96.8K,$123K,N,Full-time,0
job-4c0d9395ce3542ca,"Staff Data Scientist, Guest & Host","$180,000","$245,000",Y,Full-time (i),0
job-4cedb157a4815968,Data Engineer,$100K,$127K,Y,Full-time,0
job-4d9c7104fe8f3182,Data Scientist,"$130,000","$159,000",Y,Full-time (i),0
job-4df6e4c7297a4f54,Machine Learning & Modeling Co-op,$37.9K,$48K,N,Full-time,1
job-4df9eab753fc82ce,"Data Scientist (Deep Learning, ML, NLP)",$154K,$195K,Y,Full-time (i),0
job-4dff94f1d654a00c,Credit Research Analyst - Expert Summer Intern Programme - 2023,"$110,000","$110,000",N,Internship,1
job-4e36abb4c8802708,"Data Scientist, Baseball Research & Development",$105K,$133K,Y,Full-time (i),0
job-4e4f60f7011d7535,Data Science Intern | Data Science Team,$15,$15,Y,Internship,1
job-4fbc17578ef9deb3,2023 Entry Level Associate Data Engineer: Advanced Analytics,"$47,600","$65,450",N,Full-time,0
job-4fcc331f991d0b4d,Data Scientist & Statistician,0,0,N,Full-time,0
job-4ffe847b64625669,Data Science Intern - Summer 2023,$50.7K,$64.3K,N,Internship,1
job-50387d446166e1d0,ArborCount Data Technician,$57.5K,$72.7K,Y,Full-time (i),0
job-5062462d0a68c093,Data Scientist,0,0,N,Full-time,0
job-50bda7b9d0d3a40b,Data Scientist,$101K,$127K,N,Full-time (i),0
job-50f4e61f49824e55,Koch Minerals & Trading Data Scientist Intern – Summer 2023,0,0,N,Full-time,1
job-50fc6373c08e9d19,Data Labeler,$82.7K,$105K,N,Full-time (i),0
job-51a9496d787b39c0,Biomedical Data Scientist - Health Technologies,0,0,N,Full-time,0
job-530460f870702843,Data Analyst,$80.9K,$102K,Y,Full-time,0
job-531423f49f143100,Crime Analyst / Intelligence Analyst,0,0,N,Full-time (i),0
job-531b5517998bb48e,Intern - Data Engineer (Spring 2023),$47.2K,$59.8K,N,Part-time,1
job-5380c423310a0508,Co-op / Intern - Data Science,0,0,N,Full-time,1
job-53d77b995977b2d2,Data Scientist II,$86.5K,$110K,N,Full-time,0
job-54bf2be3f86d76fd,Data Scientist,$120K,$151K,N,Full-time,0
job-54db6aa73c78afa1,Data Scientist,$83.6K,$106K,N,Full-time,0
job-563bf8ee3692e34f,HPC and Data Science Intern,$45.2K,$57.3K,Y,Internship,1
job-56e03cc91fff1752,Product Data Scientist,0,0,N,Full-time (i),0
job-57161b6c7ee09743,Jr. Data Scientist,$99.6K,$126K,N,Full-time,0
job-5741a4dbbe15cade,Sr. Data Analyst,$82.4K,$104K,N,Full-time,0
job-575667043de017a1,Staff Data Scientist,$132K,$168K,Y,Full-time,0
job-58a24e7053634e51,Healthcare Data Analyst,"$50,000","$114,000",Y,Full-time,0
job-593fd83ee1b247d3,Data Science Intern,$44.1K,$55.8K,N,Full-time,1
job-5a56ac5aae1f0b21,Data Science Intern,$51.8K,$65.5K,N,Internship,1
job-5a88ee3cd95fca6d,NYL Data Scientist/Statistician Internship,$40,$40,Y,Internship,1
job-5af8b0c701ca7aaa,Intern,$35.4K,$44.8K,N,Full-time,1
job-5b256331cda99c7e,Data Scientist,$99.6K,$126K,N,Full-time,0
job-5bcdf819a19dde12,2023 University Graduate - Data Scientist,0,0,N,Full-time,0
job-5c05bbcec4ccad75,Speech Recognition Data Labeler (Contract),$450,$650,Y,Contract,0
job-5c4cc0a38cc4fd1c,Data Scientist 3,$92.2K,$117K,N,Full-time,0
job-5d7fcd1854c2e58f,Data Engineer,"$95,000","$105,000",Y,Full-time,0
job-5eaa1f0b29171fa8,Data Science Co-Op,$94.2K,$119K,N,Full-time (i),1
job-5f1103ebd513c781,Data Scientist - Evernorth,"$95,800","$159,600",N,Full-time,0
job-5fb709ded0d09899,Data Scientist – Biosensor Analytics,$106K,$134K,Y,Full-time (i),0
job-5fff07e6e2b3e0b1,"Data Strategy, Data Scientist – Equity Research","$100,000","$110,000",N,Full-time,0
job-6016a05f12103626,Jr. Data Scientist,$63.4K,$80.3K,N,Full-time,0
job-60eddabd88d0e17a,Data Scientist II,$39.22,$39.22,Y,Full-time,0
job-61f4d2dc654ef64e,Simulation Data Scientist,$106K,$134K,N,Full-time,0
job-6231f03d5cd6a347,"Data Science Intern, 2023 Summer U.S.",$48K,$60.8K,N,Internship,1
job-625bf4aed6e75fbb,Intern - Data Scientist,$45.9K,$58.1K,Y,Internship,1
job-62753bd28b0589dc,Data Engineer (Remote worldwide),"$155,500","$155,500",Y,Full-time,0
job-629cb3acc17b00de,Data Scientist (Contract),$96.2K,$122K,N,Contract,0
job-629e89007cef06c0,Data Scientist,$90.4K,$115K,N,Full-time (i),0
job-62b7ce96500f5adf,Data Scientist,$101K,$127K,N,Full-time (i),0
job-62bd43ec8c8768ae,Data Analyst,$93K,$118K,Y,Contract,0
job-62d677313cb6093d,Data Science Intern at UIUC Research Park - Spring 2023,$32.3K,$40.9K,N,Internship,1
job-63696188778dab88,Data Scientists,$147K,$186K,Y,Full-time (i),0
job-63bec62e3fe37cef,Data Scientist - Marketing,0,0,Y,Full-time,0
job-63fb58456f70e5b1,Data Scientist,$101K,$128K,N,Full-time,0
job-64224ed0c4491e35,Data Science - Graduate Intern.,0,0,N,Part-time,1
job-64766bc3a13bfb4a,Data Scientist (Remote),$127K,$161K,Y,Full-time,0
job-6479652b6d6e0b48,Data Analyst,$79.6K,$101K,N,Full-time (i),0
job-65814a901d49f6f0,Data Analyst Intern,$33.6K,$42.5K,N,Internship,1
job-661c38189327f80f,Data Scientist,$82.8K,$105K,N,Full-time,0
job-66b4fc49942d9045,Data Scientist,$90.3K,$114K,N,Full-time,0
job-67037e14b564d5f5,Data Scientist,$105K,$133K,N,Full-time,0
job-673cc98e25a8d226,Data Officer,$114K,$145K,N,Full-time,0
job-678f1f56ecb9b876,Data Scientist,0,0,N,Full-time (i),0
job-691fbf2482f56d85,Machine Learning Engineer,$97.4K,$123K,N,Full-time (i),0
job-699cc993187fff79,Data Science / Data Analyst - Early Career,0,0,N,Full-time (i),0
job-69f183ce26037aa3,Intern - DRAM Quality Data Analytics,$38.2K,$48.3K,N,Internship,1
job-6a21a438fb945acc,Data Scientist,$117K,$148K,N,Contract,0
job-6a31228d0dc2ae4e,Data Scientist Intern (Remote),$47.1K,$59.6K,Y,Full-time,1
job-6a52b663cd9444fb,Data Science & Statistics Intern/Co-Op,0,0,N,Internship,1
job-6a96e1b1c4aea9bb,Data Scientist Advanced Development Program,$84.2K,$107K,N,Full-time (i),0
job-6b0e5f57e2049c63,Machine Learning Research Intern,0,0,N,Internship,1
job-6b15db61a1db5de6,Data Scientist,0,0,N,Full-time,0
job-6bea4faa7fdc9888,Intern - Data Science,$38.7K,$48.9K,N,Full-time,1
job-6bfad109b485e172,"Manager, Data Science",$86.2K,$109K,N,Full-time (i),0
job-6c2760da1306cdb2,Data Scientist,$119K,$151K,Y,Full-time,0
job-6c280d306581b014,Data Review Associate Scientist - Biochemistry,0,0,N,Full-time,0
job-6c438a620e58f2a5,Data Analyst,$73.1K,$92.6K,N,Full-time,0
job-6c45f080e55f211c,"Data Analyst Intern, Customer Experience & Engagement - Summer 2023",$73.1K,$92.6K,N,Full-time,1
job-6d029acc7384b9e2,Data Evaluator for Hot,$99K,$125K,Y,Full-time (i),0
job-6d5726c075d2dd9d,Data Scientist,$88K,$111K,Y,Full-time,0
job-6d8750c50840b014,Data Scientist,$113K,$143K,Y,Full-time,0
job-6eec04cf86c2bc88,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",$126K,$160K,N,Full-time (i),0
job-709cadec36abd6e0,Backend Staff Data Engineer,"$160,000","$195,000",Y,Full-time,0
job-711d5dc27c5900d3,Data Scientist,$113K,$143K,N,Full-time,0
job-72d8c98c2426ec57,Data Science Internship,$36.9K,$46.7K,Y,Full-time,1
job-73ab5485d154854a,Data Scientist,"$150,000","$150,000",N,Full-time,0
job-73fb2d142e07d648,Data Scientist,$79K,$100K,N,Full-time,0
job-75072514becfb9ca,Clinical Data Scientist - Contract,$107K,$135K,Y,Contract,0
job-750b62e08897ec82,Data Scientist (Remote),$86.8K,$110K,Y,Full-time,0
job-75328ee278c7b732,Planner Climate and Data Science,0,0,N,Full-time (i),0
job-754556627e42fc84,Data Scientist - Remote,$104K,$132K,Y,Full-time,0
job-7563544e5dc35887,Data Scientist,"$100,000","$140,000",Y,Full-time (i),0
job-75b24e482ee0a152,Data Science Intern,$38.3K,$48.5K,N,Full-time,1
job-75e150a635df361a,Data Scientist,$103K,$131K,Y,Full-time (i),0
job-7643c252a8adfc44,Data Scientist,$96K,$122K,Y,Full-time (i),0
job-76918834b50321c9,Data Acquisition Analyst,$66.8K,$84.6K,Y,Full-time,0
job-773b2f3175e76354,Business Intelligence Intern,$34.9K,$44.2K,Y,Internship,1
job-78a4022911f63755,Associate Data Scientist,$70.4K,$89.1K,N,Full-time,0
job-78f748b6fb9b2a73,Intern - Data Science Analyst,$35.5K,$45K,N,Internship,1
job-79f6fca30cf7c76b,"Analyst, Data Scientist",$81.5K,$103K,N,Full-time (i),0
job-7a07720220241ddc,Data Scientist Co-Op (Spring 2023),$103K,$131K,Y,Full-time (i),1
job-7a490dc273be739c,Junior Data Scientist,$77.5K,$98.1K,N,Full-time,0
job-7a7d2641bac69644,Data Analyst - Fully Remote,$56.4K,$71.4K,Y,Full-time (i),0
job-7ad4ce9e4bfc0a0b,Intern: Bioinformatics,0,0,N,Internship,1
job-7adb52e24ce39d4e,"Data Scientist, Data Science and Solution (Retail Analytics)",$107K,$135K,N,Full-time,0
job-7afc43aaeee64c22,Junior Data Scientist,$75.3K,$95.4K,N,Full-time,0
job-7bfaa1e9364874f6,Data Analyst,$85.1K,$108K,N,Full-time,0
job-7c2a03352de79a53,Clinical Data Analyst,0,0,Y,Full-time (i),0
job-7d21f59c7541d281,Data Science Intern,$42.5K,$53.8K,N,Internship,1
job-7d34cb7b5c324187,Data Scientist,$100K,$127K,Y,Full-time (i),0
job-7dc55e392f6902ba,Senior Data Scientist,0,0,N,Full-time (i),0
job-7e163e5a8e1c5cbf,Data Scientist,"$57,600","$85,800",N,Full-time,0
job-7e623bea8d4ad31f,Data Scientist II,0,0,Y,Full-time,0
job-7ebecd9260532e3e,Jr. Data Engineer I,$71.1K,$90.1K,Y,Full-time (i),0
job-7ee1adc8e27a53a3,Data Scientist,$89.5K,$113K,N,Full-time (i),0
job-80627f28cf633fe0,Data Science Intern,$37.5K,$47.4K,N,Full-time,1
job-818efdec6a34a7c0,AVCOM - Data Scientist,0,0,Y,Full-time,0
job-81d3dce59d59c680,Data Analyst,$95.4K,$121K,Y,Full-time (i),0
job-82458347050bd372,2023 Internship: Data Scientist,"$75,000","$140,000",N,Full-time,1
job-82ee34db05f0eb2d,Data Analyst-Library Science,"$62,800","$106,500",N,Full-time,0
job-85014d5fc8422ca9,Data Scientist,"$70,000","$110,000",N,Full-time,0
job-8627ec0586caab68,"Data Science Intern, Research & Analytics 2023",$41.4K,$52.4K,N,Full-time,1
job-86900404171e4bc8,Sr. data scientist,$145K,$183K,N,Full-time,0
job-8777ba03d007b1b3,Machine Learning Engineer,$112K,$142K,N,Full-time,0
job-880b1ba7fe346021,Data Science Intern,$42.1K,$53.4K,N,Full-time,1
job-88e1c7b2ad9f0b24,Data Science Intern - AI Ops,$81.7K,$103K,N,Full-time,1
job-88f4b5838d26abc4,Intern - Data Science/Statistical Analysis,0,0,N,Full-time,1
job-8a0aab5c1d1132e7,Data Scientist,$114K,$144K,Y,Contract,0
job-8a4960da1bea9a14,Data Scientist,"$116,000","$130,500",N,Full-time,0
job-8a834009c7d01724,Metadata Technologist - Al and Machine Learning,$117K,$149K,Y,Full-time (i),0
job-8ab41096cb3c3264,Data Scientist,$75,$75,Y,Full-time (i),0
job-8b11e85ec74b693d,"Intern, Data Science, People Analytics",$73.6K,$93.2K,Y,Full-time,1
job-8c1e1ac097dc7048,Data Scientist,$103K,$131K,Y,Full-time,0
job-8c60c32feb60262a,Data Scientist (Remote),"$120,000","$150,000",Y,Full-time,0
job-8c9793903a49dd78,Data Scientist,"$70,000","$80,000",N,Full-time,0
job-8c9cfef64b45c755,GIS & Data Science Specialist,$57.9K,$73.3K,Y,Full-time (i),0
job-8cde8507b40ea085,Data Scientist,$88.2K,$112K,N,Full-time (i),0
job-8ce513fb3cf7f033,Graduate Intern - Scientific Software Development + Data Science,$43.3K,$54.9K,N,Internship,1
job-8d401996888d5d4f,Lead manager data science – People Analytics,0,0,N,Full-time,0
job-8d901ce6aff0c4c6,Data Science Intern,$32.6K,$41.3K,N,Part-time,1
job-8e23851edeede366,Data Analyst - Digital Marketing (Remote),$48.4K,$61.3K,Y,Full-time,0
job-8e93fbb7fdfdf2f0,Associate Data Scientist,0,0,N,Full-time (i),0
job-8f1c66141dd55313,Data Scientist,0,0,N,Full-time (i),0
job-8f6a733c2512f3b8,Data Scientist,$84.5K,$107K,N,Full-time,0
job-9050eac0e988b0f8,Data Analyst,"$61,480","$63,991",N,Full-time,0
job-90b7220a3df4738e,Data Engineering Internship,$21.50,$27.00,N,Internship,1
job-91a1808eec7ad9a4,Senior Data Scientist - Algorithms,0,0,N,Full-time (i),0
job-923fdbc199573e17,Data Science Internship,$63.2K,$80.1K,N,Internship,1
job-92a06e8f05ff1719,Data Scientist,"$150,000","$160,000",N,Full-time,0
job-92aa0975c1072913,Data Science Intern (Summer 2023),$76.3K,$96.6K,N,Part-time,1
job-92ce6b6f3da1495f,Data Science Bootcamp Teaching Assistant (Virtual/Remote),$38.2K,$48.3K,Y,Part-time,0
job-937e42ce4eec4933,Staff Data Scientist (Mailchimp),$95.5K,$121K,N,Full-time (i),0
job-93bf766fe8c1b26e,Staff Data Scientist,"$142,800","$265,200",N,Full-time,0
job-94ae0893b9b53f62,"AI/ML - Junior Engineer, Siri Entity Resolution Quality",0,0,N,Full-time (i),0
job-95126f6c210ca8ce,Data Scientist,"$112,000","$136,000",Y,Full-time (i),0
job-9588bb7c7e9eae39,Data Science Intern,$48.7K,$61.7K,Y,Internship,1
